category,year,sales,emp,Export,gdp,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share
small,2008,2.410664799172274e10,512323.0,3.855846322581423e9,4.011912883027163e9,26250,3472,603,7830.82719890999,47053.612646168025,0.15994950122909524
small,2009,2.0546327573144234e10,479244.0,3.209570130697876e9,3.555746033055412e9,24625,3484,521,7419.489932175284,42872.37309834705,0.1562113773992902
small,2010,2.170767605209009e10,483311.0,3.795796682047106e9,3.6490700816570735e9,25163,3613,672,7550.149037901214,44914.508571272105,0.17485965208521864
small,2011,2.203173651129993e10,478713.0,4.2677863019709105e9,3.7378696450110154e9,25037,3874,579,7808.1640670109555,46022.84983131841,0.1937108452518934
small,2012,1.9018693475335506e10,458395.0,3.8055049629909587e9,3.3035700482243056e9,23773,3894,359,7206.8195513134,41489.748961780795,0.20009287009784074
small,2013,2.0028066212347153e10,480306.3940038681,3.7237909830526214e9,3.678125296022152e9,24944,4057,577,7657.872853536342,41698.520907439466,0.18592863352713165
small,2014,2.25363065943554e10,498599.5833339691,3.31298572450727e9,4.201403364647538e9,26039,4157,318,8426.407692830699,45199.208638849304,0.1470065962510939
small,2015,2.3230211311712257e10,525283.0,3.5457603386047955e9,4.413468872752942e9,27346,4206,393,8402.07825639311,44224.18260578061,0.15263573331410404
small,2016,2.2894010758775013e10,540008.0,3.8291815114158707e9,4.539380258299206e9,28000,4234,429,8406.135202254793,42395.68813568505,0.1672569106288285
small,2017,2.4585888298508286e10,547880.0,3.8509560232797155e9,5.088834572573174e9,28452,3931,363,9288.228394124944,44874.586220537865,0.15663277960607047
small,2018,2.749258216956917e10,564189.0,3.1300116495561986e9,5.756087515086348e9,29156,862,354,10202.410034733657,48729.38353914942,0.11384931507163876
small,2019,2.8735400592157726e10,584009.0,3.01661497538033e9,5.850143146030748e9,30186,829,322,10017.214025863897,49203.69479264485,0.1049790472106244
small,2020,2.8226690822369293e10,569287.0,3.0546055529271092e9,5.753328280422199e9,29604,811,295,10106.200001795578,49582.531872973195,0.10821692036625041
small,2021,3.0659571651648293e10,587408.0,3.4809618783913965e9,6.3159467625483675e9,30437,792,291,10752.231434621877,52194.67840350879,0.11353589404124165
small,2022,3.1616900556e10,595487.0,4.228099923e9,6.270290533e9,30769,818,346,10529.685002359414,53094.191067143365,0.13372910844031566
